Point,x,y,z
0,532041.1256,181311.9026,0.640574276
1.053117163,532040.0756,181311.9834,1.154727101
2.106234326,532039.0256,181312.0641,0.417618006
3.159351489,532037.9756,181312.1449,0.405106217
4.212468651,532036.9256,181312.2257,0.417571157
5.265585814,532035.8755,181312.3065,1.532341242
6.318702977,532034.8255,181312.3872,1.79421556
7.37182014,532033.7755,181312.468,1.771203876
8.424937303,532032.7255,181312.5488,1.955391765
9.478054466,532031.6755,181312.6295,2.337058067
10.53117163,532030.6255,181312.7103,1.989178181
11.60406417,532029.6024,181313.0334,1.768345594
12.6769567,532028.5793,181313.3565,1.858688593
13.74984924,532027.5562,181313.6796,1.866911888
14.82274178,532026.5331,181314.0026,1.994318843
15.89563431,532025.51,181314.3257,2.240898848
16.96852685,532024.4869,181314.6488,2.308462858
18.04141939,532023.4638,181314.9719,2.361029148
19.11431192,532022.4407,181315.295,2.406114578
20.18720446,532021.4176,181315.618,1.955391765
21.260097,532020.3945,181315.9411,1.632690072
22.33298953,532019.3715,181316.2642,1.994350195
23.40588207,532018.3484,181316.5873,1.944860339
24.47877461,532017.3253,181316.9104,2.004525185
25.55166714,532016.3022,181317.2334,1.955441833
26.62455968,532015.2791,181317.5565,2.050042629
27.72780911,532014.2645,181317.9899,2.087137699
28.83105853,532013.25,181318.4233,2.12843442
29.93430796,532012.2354,181318.8567,2.135597706
31.03755738,532011.2209,181319.2901,1.902256727
32.14080681,532010.2063,181319.7235,2.087184668
33.24405624,532009.1918,181320.1569,2.145169973
34.34730566,532008.1772,181320.5903,2.220262051
35.45055509,532007.1627,181321.0237,2.024876118
36.55380452,532006.1481,181321.4571,2.740152836
37.65705394,532005.1335,181321.8906,2.662480116
38.76030337,532004.119,181322.324,2.113908768
39.8635528,532003.1044,181322.7574,2.164246321
40.96680222,532002.0899,181323.1908,1.522319913
42.07005165,532001.0753,181323.6242,1.69735527
43.17330108,532000.0608,181324.0576,1.632781029
44.2765505,531999.0462,181324.491,2.064951181
45.37979993,531998.0317,181324.9244,2.229470968
46.48304936,531997.0171,181325.3578,1.93430984
47.58629878,531996.0025,181325.7912,2.147574425
48.68954821,531994.988,181326.2246,2.113982677
49.79279763,531993.9734,181326.658,2.700696468
50.89604706,531992.9589,181327.0914,2.106622934
51.99929649,531991.9443,181327.5248,2.627682209
53.10254591,531990.9298,181327.9582,3.138319969
54.20579534,531989.9152,181328.3916,2.689212561
55.30904477,531988.9007,181328.825,2.880165815
56.41229419,531987.8861,181329.2584,2.656726122
57.51554362,531986.8716,181329.6918,2.37185359
58.61879305,531985.857,181330.1252,2.481403589
59.72204247,531984.8424,181330.5586,2.679734945
60.8252919,531983.8279,181330.992,2.764288664
61.92854133,531982.8133,181331.4254,2.784548283
63.03179075,531981.7988,181331.8588,2.897903204
64.13504018,531980.7842,181332.2922,2.128416061
65.23828961,531979.7697,181332.7256,2.185421705
66.34153903,531978.7551,181333.159,1.84764874
67.44478846,531977.7406,181333.5924,1.69735527
68.54803789,531976.726,181334.0258,2.227172852
69.65128731,531975.7114,181334.4592,1.825338364
70.75453674,531974.6969,181334.8926,1.926348686
71.85778616,531973.6823,181335.326,2.047502279
73.23103142,531972.5717,181336.1337,1.432085276
74.60427668,531971.4611,181336.9414,1.768296957
75.97752193,531970.3506,181337.7491,1.3511132
77.35076719,531969.24,181338.5568,1.449886918
77.35076719,531969.24,181338.5568,1.449886918
